,0,Company Code,Revenue,Gross Profit,Operating Expense,Profit from Operating Activities,Income Tax Expense,Net Income,Other Comprehensive Income,Total Equity,Current Liabilities,Non-current Liabilities,Total Liabilities,Cash and Cash Equivalents,Inventories,Property Plant and Equipment,Current Assets,Non-current Assets,Total Assets,Operating Cash Flows,Investing Cash Flows,Financing Cash Flows,Basic EPS
33,2376,2376,60923590000,10123214000,7847626000,2275588000,456646000,2496125000,15127000,24168666000,10955638000,610291000,11565929000,8610907000,11520153000,4131468000,28959419000,6775176000,35734595000,-2334417000,-1947350000,-2514876000,4.04
34,2377,2377,118527273000,16129686000,9437736000,6691950000,1110005000,6041129000,-97120000,29945861000,24765061000,463251000,25228312000,8815680000,22052862000,4738544000,49356897000,5817276000,55174173000,84616000,-452589000,-768943000,7.15
35,2379,2379,45805746000,20460870000,16696410000,3770758000,306420000,4350781000,703483000,24646899000,32502254000,1103161000,33605415000,4309651000,5862005000,3316578000,51153278000,7099036000,58252314000,8193750000,-8175201000,-6320915000,8.57
36,2380,2380,2126778000,515255000,951759000,-436504000,6369000,-426418000,-82555000,1660862000,1058429000,160605000,1219034000,395059000,583313000,751947000,1642248000,1237648000,2879896000,-262381000,-122460000,342196000,-2.05
37,2382,2382,1027991038000,43871961000,29576465000,14295496000,3844048000,15332361000,475468000,141227096000,498127585000,20112501000,518240086000,211281084000,136054958000,49434575000,600750831000,58716351000,659467182000,17013223000,-3514018000,-5461496000,3.92
38,2383,2383,22890928000,4576250000,1820917000,2755333000,1072437000,1754433000,-188823000,11914790000,7201783000,2845890000,10047673000,6022967000,2209347000,4937424000,16232502000,5729961000,21962463000,2087021000,-874857000,-373624000,5.48
39,2385,2385,87260406000,12616764000,7967228000,4649536000,1056563000,3978909000,-517092000,28181524000,39182202000,1568182000,40750384000,1952439000,15078468000,12371429000,46422143000,22509765000,68931908000,6531950000,-3974698000,-3247012000,5.22
40,2387,2387,10437089000,1234088000,1092426000,141662000,212218000,125969000,-130505000,7438201000,5244041000,192326000,5436367000,1784646000,1715761000,3320214000,9169271000,3705297000,12874568000,304552000,-445710000,-323979000,0.62
41,2388,2388,4796841000,1316518000,2545569000,-1229051000,18779000,77841000,-23467000,3884499000,1505622000,3040416000,4546038000,2061374000,657059000,2121754000,3646662000,4783875000,8430537000,-1033164000,835674000,399973000,0.14
42,2390,2390,672356000,119314000,267890000,-148576000,-8696000,-173091000,-3718000,2275163000,400389000,52564000,452953000,286561000,566829000,579669000,1134817000,1593299000,2728116000,-89301000,-66382000,-103261000,-0.81
43,2392,2392,87910961000,7660806000,7534282000,126524000,338853000,544185000,-709585000,27947234000,25926628000,17295173000,43221801000,6122851000,13141480000,21962875000,35934940000,35234095000,71169035000,3873433000,-4151090000,-1250981000,1.20
44,2393,2393,24089291000,5654578000,4765510000,889068000,260880000,863079000,-388274000,17352626000,9961920000,1769597000,11731517000,4530385000,1850867000,10239693000,17360421000,11723722000,29084143000,3536132000,3233281000,-6828038000,1.80
45,2395,2395,48726518000,18663448000,11196049000,7467399000,1677741000,6316748000,-492463000,29540586000,12146590000,2249896000,14396486000,6633161000,7557820000,9782781000,25366573000,18570499000,43937072000,7425746000,-1769158000,-4351892000,9.02
46,2397,2397,5211122000,1540791000,759144000,781647000,184833000,605337000,8461000,3216789000,1389652000,115706000,1505358000,1013469000,941401000,964362000,3422103000,1300044000,4722147000,1100289000,-416045000,-494602000,5.28
47,2399,2399,3040055000,289419000,353795000,-64376000,-8682000,-190496000,-11916000,2284046000,673278000,73853000,747131000,587430000,768228000,245489000,2021038000,1010139000,3031177000,-84633000,-120877000,-44913000,-1.37
